4,0,1,1
4,1,1,6
4,2,1,16
4,3,1,45
4,4,1,91
4,5,1,100
4,6,1,58
4,7,1,9
4,0,2,4
4,1,2,14
4,2,2,28
4,3,2,8
4,4,2,1
4,0,3,4
4,1,3,4
4,2,3,4
5,0,1,1
5,1,1,10
5,2,1,40
5,3,1,137
5,4,1,492
5,5,1,1487
5,6,1,3359
5,7,1,5928
5,8,1,7777
5,9,1,7020
5,10,1,3980
5,11,1,1238
5,12,1,230
5,13,1,28
5,14,1,2
5,0,2,25
5,1,2,150
5,2,2,544
5,3,2,649
5,4,2,425
5,5,2,479
5,6,2,408
5,7,2,147
5,8,2,34
5,9,2,8
5,0,3,25
5,1,3,100
5,2,3,142
5,3,3,40
5,4,3,82
5,5,3,10
6,0,1,1
6,1,1,15
6,2,1,85
6,3,1,355
6,4,1,1459
6,5,1,5956
6,6,1,22477
6,7,1,72879
6,8,1,202206
6,9,1,482920
6,10,1,980316
6,11,1,1654468
6,12,1,2267502
6,13,1,2449165
6,14,1,2010420
6,15,1,1210378
6,16,1,518207
6,17,1,158607
6,18,1,34636
6,19,1,5696
6,20,1,658
6,21,1,58
6,22,1,4
6,0,2,126
6,1,2,1155
6,2,2,5897
6,3,2,14391
6,4,2,29790
6,5,2,54472
6,6,2,89977
6,7,2,122850
6,8,2,124842
6,9,2,106041
6,10,2,70814
6,11,2,40507
6,12,2,17597
6,13,2,5164
6,14,2,1171
6,15,2,113
6,16,2,5
6,0,3,126
6,1,3,1050
6,2,3,2575
6,3,3,7382
6,4,3,10328
6,5,3,17321
6,6,3,5322
6,7,3,3512
6,8,3,1661
6,9,3,413
6,10,3,169
6,11,3,19
6,12,3,3
6,0,4,84
6,1,4,6
6,2,4,6
6,3,4,63
6,4,4,45
6,5,4,9
6,7,4,4
